 n  n*n      sqrt(n)            sin(n)            cos(n)
-- ---- ----------------- ----------------- -----------------
 0    0 0.000000000000000 0.000000000000000 1.000000000000000
 1    1 1.000000000000000 0.017452406437284 0.999847695156391
 2    4 1.414213562373095 0.034899496702501 0.999390827019096
 3    9 1.732050807568877 0.052335956242944 0.998629534754574
 4   16 2.000000000000000 0.069756473744125 0.997564050259824
 5   25 2.236067977499790 0.087155742747658 0.996194698091746
 6   36 2.449489742783178 0.104528463267653 0.994521895368273
 7   49 2.645751311064591 0.121869343405147 0.992546151641322
 8   64 2.828427124746190 0.139173100960065 0.990268068741570
 9   81 3.000000000000000 0.156434465040231 0.987688340595138
10  100 3.162277660168380 0.173648177666930 0.984807753012208
11  121 3.316624790355400 0.190808995376545 0.981627183447664
12  144 3.464101615137754 0.207911690817759 0.978147600733806
13  169 3.605551275463989 0.224951054343865 0.974370064785235
14  196 3.741657386773941 0.241921895599668 0.970295726275996
15  225 3.872983346207417 0.258819045102521 0.965925826289068
16  256 4.000000000000000 0.275637355816999 0.961261695938319
17  289 4.123105625617661 0.292371704722737 0.956304755963035
18  324 4.242640687119285 0.309016994374947 0.951056516295154
19  361 4.358898943540674 0.325568154457157 0.945518575599317
20  400 4.472135954999580 0.342020143325669 0.939692620785908
21  441 4.582575694955840 0.358367949545300 0.933580426497202
22  484 4.690415759823430 0.374606593415912 0.927183854566787
23  529 4.795831523312719 0.390731128489274 0.920504853452440
24  576 4.898979485566356 0.406736643075800 0.913545457642601
25  625 5.000000000000000 0.422618261740699 0.906307787036650
26  676 5.099019513592784 0.438371146789077 0.898794046299167
27  729 5.196152422706632 0.453990499739547 0.891006524188368
28  784 5.291502622129181 0.469471562785891 0.882947592858927
29  841 5.385164807134504 0.484809620246337 0.874619707139396
30  900 5.477225575051661 0.500000000000000 0.866025403784439
31  961 5.567764362830022 0.515038074910054 0.857167300702112
32 1024 5.656854249492381 0.529919264233205 0.848048096156426
33 1089 5.744562646538029 0.544639035015027 0.838670567945424
34 1156 5.830951894845301 0.559192903470747 0.829037572555042
35 1225 5.916079783099616 0.573576436351046 0.819152044288992
36 1296 6.000000000000000 0.587785252292473 0.809016994374947
37 1369 6.082762530298219 0.601815023152048 0.798635510047293
38 1444 6.164414002968976 0.615661475325658 0.788010753606722
39 1521 6.244997998398398 0.629320391049837 0.777145961456971
40 1600 6.324555320336759 0.642787609686539 0.766044443118978
41 1681 6.403124237432849 0.656059028990507 0.754709580222772
42 1764 6.480740698407860 0.669130606358858 0.743144825477394
43 1849 6.557438524302000 0.681998360062498 0.731353701619170
44 1936 6.633249580710800 0.694658370458997 0.719339800338651
45 2025 6.708203932499369 0.707106781186547 0.707106781186548
46 2116 6.782329983125268 0.719339800338651 0.694658370458997
47 2209 6.855654600401044 0.731353701619170 0.681998360062498
48 2304 6.928203230275509 0.743144825477394 0.669130606358858
49 2401 7.000000000000000 0.754709580222772 0.656059028990507
50 2500 7.071067811865476 0.766044443118978 0.642787609686539
51 2601 7.141428428542850 0.777145961456971 0.629320391049838
52 2704 7.211102550927978 0.788010753606722 0.615661475325658
53 2809 7.280109889280518 0.798635510047293 0.601815023152048
54 2916 7.348469228349535 0.809016994374947 0.587785252292473
55 3025 7.416198487095663 0.819152044288992 0.573576436351046
56 3136 7.483314773547883 0.829037572555042 0.559192903470747
57 3249 7.549834435270750 0.838670567945424 0.544639035015027
58 3364 7.615773105863909 0.848048096156426 0.529919264233205
59 3481 7.681145747868608 0.857167300702112 0.515038074910054
60 3600 7.745966692414834 0.866025403784439 0.500000000000000
61 3721 7.810249675906654 0.874619707139396 0.484809620246337
62 3844 7.874007874011811 0.882947592858927 0.469471562785891
63 3969 7.937253933193772 0.891006524188368 0.453990499739547
64 4096 8.000000000000000 0.898794046299167 0.438371146789077
65 4225 8.062257748298549 0.906307787036650 0.422618261740699
66 4356 8.124038404635961 0.913545457642601 0.406736643075800
67 4489 8.185352771872450 0.920504853452440 0.390731128489274
68 4624 8.246211251235321 0.927183854566787 0.374606593415912
69 4761 8.306623862918075 0.933580426497202 0.358367949545300
70 4900 8.366600265340756 0.939692620785908 0.342020143325669
71 5041 8.426149773176359 0.945518575599317 0.325568154457157
72 5184 8.485281374238570 0.951056516295154 0.309016994374947
73 5329 8.544003745317530 0.956304755963035 0.292371704722737
74 5476 8.602325267042627 0.961261695938319 0.275637355816999
75 5625 8.660254037844387 0.965925826289068 0.258819045102521
76 5776 8.717797887081348 0.970295726275996 0.241921895599668
77 5929 8.774964387392123 0.974370064785235 0.224951054343865
78 6084 8.831760866327848 0.978147600733806 0.207911690817759
79 6241 8.888194417315589 0.981627183447664 0.190808995376545
80 6400 8.944271909999159 0.984807753012208 0.173648177666930
81 6561 9.000000000000000 0.987688340595138 0.156434465040231
82 6724 9.055385138137417 0.990268068741570 0.139173100960065
83 6889 9.110433579144299 0.992546151641322 0.121869343405147
84 7056 9.165151389911680 0.994521895368273 0.104528463267653
85 7225 9.219544457292887 0.996194698091746 0.087155742747658
86 7396 9.273618495495704 0.997564050259824 0.069756473744125
87 7569 9.327379053088816 0.998629534754574 0.052335956242944
88 7744 9.380831519646859 0.999390827019096 0.034899496702501
89 7921 9.433981132056603 0.999847695156391 0.017452406437284
90 8100 9.486832980505138 1.000000000000000 0.000000000000000
